,base_market,quote_market,hedge_ratio,half_life
0,ETC-USD,COMP-USD,0.41601619512749843,14.0
1,ETC-USD,ALGO-USD,83.07294955255435,7.0
2,ZEC-USD,COMP-USD,0.8769532795319247,9.0
3,ZEC-USD,XLM-USD,514.4051273309805,16.0
4,ZEC-USD,SUSHI-USD,33.39701526029911,9.0
5,ZEC-USD,DOT-USD,6.7337776844181985,21.0
6,ZEC-USD,SOL-USD,1.9720216151079764,8.0
7,ATOM-USD,LTC-USD,0.13788454824997903,12.0
8,CELO-USD,COMP-USD,0.015298425114773076,9.0
9,CELO-USD,SUSHI-USD,0.5826246238756714,10.0
10,CELO-USD,DOT-USD,0.11749917316894173,15.0
11,CELO-USD,SOL-USD,0.03440064839957707,9.0
12,ENJ-USD,1INCH-USD,0.8266202505175538,20.0
13,RUNE-USD,XMR-USD,0.010839015405080366,7.0
14,RUNE-USD,ADA-USD,4.44288776529635,5.0
15,RUNE-USD,CRV-USD,1.5505523610727163,15.0
16,RUNE-USD,AAVE-USD,0.020104826594304525,4.0
17,FIL-USD,EOS-USD,5.83953339670001,14.0
18,FIL-USD,BTC-USD,0.00028183233582617187,15.0
19,TRX-USD,COMP-USD,0.001320813673447635,21.0
20,TRX-USD,BTC-USD,2.911921234248211e-06,2.0
21,TRX-USD,DOGE-USD,0.821827537780333,10.0
22,TRX-USD,UNI-USD,0.010233667805961279,19.0
23,TRX-USD,AVAX-USD,0.0036469873599116786,6.0
24,TRX-USD,ETH-USD,4.229292516293779e-05,10.0
25,COMP-USD,XLM-USD,586.2609343637831,18.0
26,COMP-USD,ALGO-USD,199.53817945712177,12.0
27,COMP-USD,SUSHI-USD,38.06768246432389,12.0
28,COMP-USD,DOT-USD,7.678545757189708,9.0
29,COMP-USD,SOL-USD,2.247865525918246,9.0
30,NEAR-USD,ALGO-USD,9.254018853876989,3.0
31,NEAR-USD,SUSHI-USD,1.7650817966863794,3.0
32,NEAR-USD,ADA-USD,6.336595613920808,3.0
33,NEAR-USD,BTC-USD,0.00010212826361483303,3.0
34,NEAR-USD,DOT-USD,0.35587637489151425,4.0
35,NEAR-USD,CRV-USD,2.212032733153702,4.0
36,NEAR-USD,SOL-USD,0.10421085745979651,3.0
37,NEAR-USD,AAVE-USD,0.028675136340419155,3.0
38,NEAR-USD,UNI-USD,0.35892961301551896,3.0
39,NEAR-USD,MATIC-USD,1.8081971289001075,3.0
40,NEAR-USD,AVAX-USD,0.12798724348804374,3.0
41,ALGO-USD,AVAX-USD,0.013831347866640666,3.0
42,XMR-USD,ADA-USD,409.6951127599557,19.0
43,XMR-USD,CRV-USD,142.97002177863413,18.0
44,XMR-USD,AAVE-USD,1.8539442520257103,9.0
45,SUSHI-USD,DOT-USD,0.20158509828986826,18.0
46,SUSHI-USD,MATIC-USD,1.0236567257645923,4.0
47,ADA-USD,AAVE-USD,0.004524420593747832,6.0
48,CRV-USD,AAVE-USD,0.012947912177929082,17.0
49,DOGE-USD,LTC-USD,0.0008528762718882446,9.0
50,DOGE-USD,1INCH-USD,0.13897279065353857,13.0
51,DOGE-USD,AVAX-USD,0.004293708511983088,11.0
52,AAVE-USD,MATIC-USD,63.029173647789875,4.0
